City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,Savannah Bight,16.45,-85.85,86.0,66,20,5.75,HN,2021-03-23 19:17:07
232,Guadalupe Y Calvo,26.1,-106.9667,59.11,5,7,13.42,MX,2021-03-23 19:17:08
233,Pisco,-13.7,-76.2167,75.2,64,0,14.97,PE,2021-03-23 19:14:43
234,Iranshahr,27.2025,60.6848,71.6,10,0,3.38,IR,2021-03-23 19:17:08
235,Butembo,0.15,29.2833,60.69,83,65,3.98,CD,2021-03-23 19:17:09
236,Sur,22.5667,59.5289,78.44,45,0,13.27,OM,2021-03-23 19:13:41
237,Tonj,7.2737,28.6822,79.41,61,100,5.55,SS,2021-03-23 19:17:09
238,Berdigestyakh,62.0989,126.6992,-16.56,97,99,7.52,RU,2021-03-23 19:17:09
239,Praya,14.9215,-23.5087,73.4,60,40,19.57,CV,2021-03-23 19:15:16
240,Nago,26.5881,127.9761,64.4,67,75,6.91,JP,2021-03-23 19:17:10
241,Vardo,70.3705,31.1107,30.2,80,15,33.38,NO,2021-03-23 19:12:29
242,Kavieng,-2.5744,150.7967,80.94,81,100,13.78,PG,2021-03-23 19:17:10
243,Bilma,18.6853,12.9164,84.09,17,1,15.61,NE,2021-03-23 19:12:37
244,Mananara,-16.1667,49.7667,76.73,90,75,0.6,MG,2021-03-23 19:17:10
245,Nong Kung Si,16.65,103.3,75.0,73,12,6.08,TH,2021-03-23 19:17:11
246,Ust-Nera,64.5667,143.2,-8.28,97,100,6.49,RU,2021-03-23 19:17:11
247,Farafangana,-22.8167,47.8333,77.13,88,100,6.8,MG,2021-03-23 19:17:11
248,Flinders,-34.5833,150.8552,68.0,96,0,1.99,AU,2021-03-23 19:17:12
249,Antofagasta,-23.65,-70.4,71.01,64,20,14.97,CL,2021-03-23 19:17:12
250,Ancud,-41.8697,-73.8203,60.8,51,40,10.36,CL,2021-03-23 19:14:24
251,Malanje,-9.5402,16.341,66.87,88,96,3.71,AO,2021-03-23 19:17:12
252,Sao Miguel Do Araguaia,-13.275,-50.1628,86.34,57,100,3.29,BR,2021-03-23 19:17:13
253,Tubmanburg,6.8708,-10.8172,78.49,80,100,5.53,LR,2021-03-23 19:17:13
254,Padang,-0.9492,100.3543,75.2,100,90,3.44,ID,2021-03-23 19:17:13
255,Upernavik,72.7868,-56.1549,-10.37,86,100,8.79,GL,2021-03-23 19:17:13
256,Otjiwarongo,-20.4637,16.6477,67.6,79,100,2.75,NA,2021-03-23 19:17:14
257,Provideniya,64.3833,-173.3,14.72,95,100,13.13,RU,2021-03-23 19:17:14
258,Matina,10.0761,-83.2895,84.2,65,0,9.22,CR,2021-03-23 19:17:14
259,Torbay,47.6666,-52.7314,55.4,28,20,25.32,CA,2021-03-23 19:17:15
260,Nanortalik,60.1432,-45.2371,26.35,59,18,14.32,GL,2021-03-23 19:17:15
261,Vila Velha,-20.3297,-40.2925,88.0,62,20,8.05,BR,2021-03-23 19:12:50
262,Bielawa,50.6908,16.623,37.99,87,100,5.41,PL,2021-03-23 19:17:15
263,Sao Joao Da Barra,-21.6403,-41.0511,86.0,62,40,9.22,BR,2021-03-23 19:17:16
264,Phangnga,8.4509,98.5298,80.6,78,20,3.44,TH,2021-03-23 19:17:16
265,Teya,60.3778,92.6267,-1.88,100,99,2.55,RU,2021-03-23 19:17:16
266,Talaya,61.3833,152.75,-6.61,99,100,2.64,RU,2021-03-23 19:17:17
267,Bowen,-20.0167,148.2333,75.2,94,53,5.35,AU,2021-03-23 19:17:17
268,Lagoa,39.05,-27.9833,54.91,54,23,9.73,PT,2021-03-23 19:17:17
269,San Felipe,10.3399,-68.7425,81.81,70,89,6.24,VE,2021-03-23 19:17:18
270,Puerto Baquerizo Moreno,-0.9,-89.6,80.6,83,75,5.75,EC,2021-03-23 19:17:18
271,Pierre,44.3683,-100.351,54.0,50,75,12.66,US,2021-03-23 19:15:28
272,Hualmay,-11.0964,-77.6139,75.81,68,90,11.41,PE,2021-03-23 19:17:18
273,Kodiak,57.79,-152.4072,35.6,69,1,13.8,US,2021-03-23 19:17:18
274,Asau,46.4333,26.4,30.99,61,100,8.41,RO,2021-03-23 19:17:19
275,Bongandanga,1.5,21.05,75.87,73,19,3.47,CD,2021-03-23 19:17:19
276,Namtsy,62.7161,129.6658,-11.2,58,0,6.71,RU,2021-03-23 19:17:19
277,Klaksvik,62.2266,-6.589,44.6,81,75,39.12,FO,2021-03-23 19:17:20
278,Salta,-24.7859,-65.4117,69.8,64,75,8.05,AR,2021-03-23 19:17:20
279,Iracoubo,5.4802,-53.2011,78.28,88,100,11.36,GF,2021-03-23 19:17:20
280,Avera,33.194,-82.5271,73.4,49,40,9.22,US,2021-03-23 19:17:21
281,Awjilah,29.1081,21.2869,58.95,41,0,16.67,LY,2021-03-23 19:17:21
282,Tottori,35.5,134.2333,45.1,75,0,8.23,JP,2021-03-23 19:17:21
283,Warangal,18.0,79.5833,80.35,41,6,9.19,IN,2021-03-23 19:17:22
284,Linguere,15.3953,-15.1193,102.2,10,0,4.61,SN,2021-03-23 19:17:22
285,Khipro,25.8285,69.3772,80.6,25,0,4.94,PK,2021-03-23 19:17:22
286,Sangar,63.9242,127.4739,-26.99,97,94,7.02,RU,2021-03-23 19:17:22
287,Port Hardy,50.6996,-127.4199,42.8,81,90,2.3,CA,2021-03-23 19:13:02
288,Srivardhan,18.0333,73.0167,82.83,53,61,6.62,IN,2021-03-23 19:17:23
289,Jacareacanga,-6.2222,-57.7528,81.93,75,100,2.66,BR,2021-03-23 19:17:23
290,Coihaique,-45.5752,-72.0662,55.4,44,75,10.36,CL,2021-03-23 19:12:33
291,Rio Gallegos,-51.6226,-69.2181,57.2,44,20,14.97,AR,2021-03-23 19:17:23
292,Cockburn Town,21.4612,-71.1419,82.4,65,20,9.22,TC,2021-03-23 19:17:24
293,Cururupu,-1.8283,-44.8683,84.43,65,66,6.55,BR,2021-03-23 19:17:24
